Date,SQL/mySQL,"Business Planning, Consulting, Strategy, and Analysis","Corporate Finance, Mergers & Acquisitions",Customer Relationship Management,Data Analysis in Spreadsheets,"Data Science, Machine Learning, Artificial Intelligence","Digital Advertising, Publishing, Analysis",Excel,Financial Analysis and Business Valuation,French,German,"HTML5, CSS, PHP",International and Domestic Macro- and Micro- Economics,Javascript,Platfora BI,PowerPoint & Office,Programmatic Data Analysis,Public Speaking,Python,Sales,"Small & Mid-sized Business Analysis, Valuation, and Brokerage",Spanish,Tableau,Teamwork,Visual Basic for Applications
10/1/2010,0,2,3,0,1.5,0,0,1.5,1.5,2.5,2.5,0,2.5,0,0,3,0,2.5,0,0,1,4,0,3,0
11/1/2010,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
12/1/2010,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
1/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
2/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
3/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
4/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
5/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
6/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
7/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
8/1/2011,0,2.5,,0,1.5,0,0,,2,,3,,,,,,0,,,,,,,3.5,
9/1/2011,0,,,0,1.5,0,0,,,,,,3,,,,0,,,,,,,,
10/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
11/1/2011,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
12/1/2011,0,,,0,1.5,0,0,,,,4.5,,,,,,0,,,,,,,,
1/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
2/1/2012,0,,2.5,0,1.5,0,0,,,,,,3.5,,,,0,,,,,,,,
3/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
4/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
5/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
6/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
7/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
8/1/2012,0,,,0,1.5,0,0,,,,5,,4,,,,0,,,,,,,,
9/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
10/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
11/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
12/1/2012,0,,,0,1.5,0,0,,,,,,,,,,0,,,,,,,,
1/1/2013,0,2.5,,0,2,0,0,2,1.5,,,,3.5,,,3,0,,,0,,,,3,
2/1/2013,0,,,0,2.5,0,0,2.5,,,,,,,,,0,,,,,,,,
3/1/2013,0,,,0,3,0,0,3,,,,,,,,,0,,,,,,,,
4/1/2013,0,,,0,,0,0,,,1,,,,,,,0,,,,,,,,
5/1/2013,0,,,0,,0,0,,,,,,,,,,0,,,,,,,,
6/1/2013,0,,,0,,0,0,,,,,,,,,,0,,,,1,,,,
7/1/2013,0,3,3,0,,0,0,,2,,,,,,,,0,,,,,,,,
8/1/2013,0,,,1,3.5,0,1,3.5,3,,,,,,,,0,,,1,,,,3.5,
9/1/2013,0,,,,,0,2,,,,,,,,,,0,,,,,,,,
10/1/2013,0,,,,,0,3,,3.5,,,,,,,,0,,,,3.5,,,,
11/1/2013,0,,,,,0,4,,,,,,,,,,0,,,,,,,,
12/1/2013,0,,,,,0,,,,,,,,,,,0,,,,,,,,
1/1/2014,0,,3.5,,,0,,,4,,,,,,,,0,,,,4,,,,
2/1/2014,0,,,,,0,,,,,,,,,,,0,,,,,,,,
3/1/2014,0,,,,,0,,,,,,,,,,,0,,,,,,,,
4/1/2014,0,,,,,0,,,,,,,,,,,0,,,,,,,,
5/1/2014,0,,,,,0,,,,,,,,,,,0,,,,,,,,
6/1/2014,0,,,,,0,,,,,,,,,,,0,,,,,,,,
7/1/2014,0,,,,,0,,,,,,,,,,,0,,,,,,,,
8/1/2014,0,,,,4,0,,4,,,,,,,0,,0,,,,,,,4,
9/1/2014,0,,,2,,0,,,,,,,,,,,0,,,1.5,,,,,0
10/1/2014,0,,,,,0,,,,,,,,,1,,0,,,,,,,,1
11/1/2014,0,,,,,0,,,,,,,,,,,0,,,,,,,,2
12/1/2014,0,,3.5,,4.5,0,,4.5,4,,,,,,,,0,,,,4,,,,3
1/1/2015,0,,,,,0,,,,,,,3,,,,0,,,,,,,,3.5
2/1/2015,0,,,,,0,,,,,,,,,,,0,,,,,,,,
3/1/2015,0,,,,,0,,,,,,,,,,,0,,,,,,,,
4/1/2015,0,,,,,0,,,,,,,,,,,0,,,,,,,,
5/1/2015,0,,,,,0,,,,,,,,,,,0,,,,,,,,
6/1/2015,0,,,,,0,,,3.5,,,,,,,,0,,,,3.5,,,,
7/1/2015,0,,3,,,0,,,,,,,,,2,,0,,,,,,,,
8/1/2015,0,,,,,0,,,,,,,,,,,0,,,,,,,,
9/1/2015,0,,,,,0,,,,,,,,,,,0,,,,,,,,
10/1/2015,0,,,,,0,,,,,,,,,3.5,,0,,,,,,,,
11/1/2015,3,,,,,0,,,,,,,,,,,0,,,,,,,,
12/1/2015,,,,2.5,,0,4.5,,3,,,,,,,,0,,,2,3,,,,
1/1/2016,,,,,,0,,,,,,,,,,,0,,,,,,,,
2/1/2016,,,,,,0,,,,,,,,,,,0,,,,,,,,
3/1/2016,,,,,,0,,,,,,,,,3.5,,0,,,,,,,,
4/1/2016,,,,3,4.5,1,4.5,5,,,,,,,,,1,,,,,,,,
5/1/2016,,3.5,,,,,,,,,,,,,,,,,,,,,,4.5,3.5
6/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2016,,,,3.5,,,,,,,,,,,,,,,,,,,,,
11/1/2016,,,,,,,,,,,,,,,,,,,,2.5,,,,,
12/1/2016,2.5,,,,,2,4,,2.5,,,,2.5,,,,,,,,2.5,,,,3
1/1/2017,,4,,,4,,,,,,,,,,,,,,,,,,,,
2/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2017,,,,,,,,,,,,,,,2.5,,,,,,,,,,
5/1/2017,,,,4,,,,,,,,,,,,,,4,,3,,,,,
6/1/2017,2,,,,,,3.5,,,,,,,,,,,,,,,,,,
7/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2017,,,,4.5,,,,,,,,,,,,,,,,,,,,,
9/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2017,,,,,,,,,,,,,,,,,,,,3.5,,,,,
12/1/2017,1.5,,,,,,3,,,,,,,,,,,,,,,,,,2.5
1/1/2018,,,,5,,,,,,,,,,,,,,,,,,,,,
2/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2018,,,,,,,,,2,,,,,,,,,,,,2,,,,
4/1/2018,,,,,,2.5,,,,,,,,,,,,4.5,,,,,,,
5/1/2018,,,,,,,,4.5,,,,,,,,,,,,,,,,,
6/1/2018,,,,,,,2.5,,3,,,,,,,,,,,,2.5,,,,
7/1/2018,,4.5,,,,,,,,,,,,,,,,,,4,,,,,
8/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2018,1.5,,,,,,,,,,,0,,0,,,,,0,,4.5,,,,
11/1/2018,2,,,,,2.25,,,,,,2,,1,,,2,,1,,,,0,,
12/1/2018,2.5,,,,,,2,,4.5,,,2.5,,,,,2.5,,1.5,,,,1,,
1/1/2019,,,,,,,,,,,,,,,,,,,2,,,,2,,
2/1/2019,2.5,4.5,3,5,4,3,2,4.5,4.5,0.5,4.5,2.5,2,1,2,4.5,3,4.75,2.5,4,4.5,2,3,4.5,2
